Assets and Liabilities of FDIC-Insured Commercial Banks and Savings Institutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(Amounts in $ Millions),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,1984Q1,1984Q2,1984Q3,1984Q4,1985Q1,1985Q2,1985Q3,1985Q4,1986Q1,1986Q2,1986Q3,1986Q4,1987Q1,1987Q2,1987Q3,1987Q4,1988Q1,1988Q2,1988Q3,1988Q4,1989Q1,1989Q2,1989Q3,1989Q4,1990Q1,1990Q2,1990Q3,1990Q4,1991Q1,1991Q2,1991Q3,1991Q4,1992Q1,1992Q2,1992Q3,1992Q4,1993Q1,1993Q2,1993Q3,1993Q4,1994Q1,1994Q2,1994Q3,1994Q4,1995Q1,1995Q2,1995Q3,1995Q4,1996Q1,1996Q2,1996Q3,1996Q4,1997Q1,1997Q2,1997Q3,1997Q4,1998Q1,1998Q2,1998Q3,1998Q4,1999Q1,1999Q2,1999Q3,1999Q4,2000Q1,2000Q2,2000Q3,2000Q4,2001Q1,2001Q2,2001Q3,2001Q4,2002Q1,2002Q2,2002Q3,2002Q4,2003Q1,2003Q2,2003Q3,2003Q4,2004Q1,2004Q2,2004Q3,2004Q4,2005Q1,2005Q2,2005Q3,2005Q4,2006Q1,2006Q2,2006Q3,2006Q4,2007Q1,2007Q2,2007Q3,2007Q4,2008Q1,2008Q2,2008Q3,2008Q4,2009Q1,2009Q2,2009Q3,2009Q4,2010Q1,2010Q2,2010Q3,2010Q4,2011Q1,2011Q2,2011Q3,2011Q4,2012Q1,2012Q2,2012Q3,2012Q4,2013Q1,2013Q2,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,2021Q1,2021Q2,2021Q3,2021Q4,2022Q1,2022Q2,2022Q3,2022Q4,2023Q1,2023Q2,2023Q3,2023Q4,2024Q1,2024Q2
    Real estate loans in foreign offices,"9,489","10,268","10,135","10,832","11,150","11,526","12,563","13,268","14,591","15,408","16,343","17,274","16,815","17,441","18,666","17,420","21,086","21,195","21,200","22,128","23,019","23,395","22,965","22,790","23,656","25,427","27,178","26,587","26,179","24,704","25,529","25,964","24,219","23,739","23,058","21,343","22,802","22,164","21,972","22,350","23,204","24,004","25,167","26,457","26,634","26,988","27,256","27,202","27,648","28,058","26,864","28,083","28,884","28,642","29,618","28,157","28,904","29,090","29,878","30,635","30,186","31,105","31,474","32,558","32,366","32,040","31,465","32,033","35,108","34,705","34,580","36,695","34,997","36,411","33,815","34,280","34,598","36,999","38,482","39,559","41,019","47,390","49,565","53,066","48,469","47,289","48,622","52,479","52,570","56,160","58,365","57,297","60,841","65,492","65,540","70,532","75,754","75,006","69,008","64,411","62,338","65,135","65,584","62,982","63,675","61,571","63,787","57,181","59,012","60,531","58,241","59,534","61,193","60,023","62,436","60,147","58,774","58,983","66,340","65,937","67,338","68,811","66,484","66,692","65,099","69,157","64,954","64,946","63,808","61,521","60,826","58,393","58,667","60,820","62,497","64,347","65,034","61,943","61,319","61,903","62,364","62,659","61,942","63,805","61,221","65,240","66,753","69,864","68,740","69,406","68,877","68,868","69,641","59,686","56,237","56,282","56,198","54,063","46,754","47,481","46,663","45,802"
  Commercial & industrial loans,"544,150","565,143","566,408","581,967","587,222","591,211","596,400","601,777","605,744","608,413","601,503","633,271","617,648","615,847","613,385","623,064","631,371","635,464","631,364","645,568","646,723","654,868","658,702","659,662","661,213","657,152","655,337","646,452","634,167","614,496","596,190","581,769","572,335","565,161","557,605","548,170","542,683","543,634","539,419","548,394","558,591","574,167","584,886","598,979","633,380","651,758","659,377","673,661","689,193","698,831","713,249","724,453","746,226","770,466","781,304","811,201","836,519","867,203","893,348","919,610","943,849","959,621","970,187","996,317","1,027,461","1,061,737","1,074,511","1,085,957","1,082,186","1,065,421","1,048,856","1,019,922","1,003,785","975,500","962,018","952,542","947,946","933,446","931,072","921,116","910,112","926,721","951,719","967,579","1,000,156","1,042,159","1,049,707","1,085,572","1,125,796","1,157,423","1,180,748","1,214,728","1,249,920","1,299,387","1,388,417","1,439,127","1,480,808","1,489,815","1,502,716","1,493,934","1,432,521","1,364,899","1,274,419","1,213,895","1,176,773","1,164,563","1,165,329","1,183,949","1,201,942","1,235,609","1,281,439","1,345,479","1,373,493","1,424,052","1,446,392","1,493,959","1,494,065","1,519,166","1,538,865","1,566,740","1,611,749","1,660,272","1,672,334","1,714,860","1,749,169","1,798,542","1,802,627","1,836,698","1,907,059","1,925,794","1,937,583","1,931,730","1,956,715","1,978,438","1,983,982","2,008,501","2,046,762","2,071,659","2,083,908","2,164,393","2,202,519","2,214,774","2,215,839","2,207,539","2,550,544","2,696,270","2,545,040","2,440,664","2,457,511","2,335,449","2,240,039","2,309,494","2,390,344","2,484,706","2,500,141","2,529,990","2,525,279","2,511,954","2,481,439","2,477,823","2,487,368","2,499,805"
Loans to individuals,"261,504","277,997","293,062","311,074","319,656","336,395","352,401","366,687","367,785","379,488","388,343","399,807","393,450","400,037","409,770","421,085","421,420","426,618","435,898","446,091","434,787","441,460","449,517","459,490","442,333","443,299","451,328","451,447","435,675","430,375","428,091","432,550","417,228","416,354","418,684","422,461","418,188","427,410","440,566","457,540","459,655","477,592","500,634","527,282","529,236","543,369","560,330","578,282","568,164","582,842","597,204","611,030","593,571","607,920","606,954","612,704","593,066","599,714","609,044","623,659","602,759","592,147","591,201","617,661","616,339","630,983","647,517","671,887","663,193","675,790","676,467","700,557","718,081","728,752","753,567","772,272","751,888","763,944","772,341","848,172","831,398","846,059","895,515","930,368","907,526","907,693","932,786","948,704","923,581","933,035","954,855","955,264","946,249","980,847","1,013,355","1,058,458","1,048,085","1,069,392","1,082,699","1,088,856","1,046,274","1,037,123","1,041,024","1,057,804","1,366,189","1,342,447","1,328,438","1,316,352","1,273,820","1,288,154","1,284,573","1,307,576","1,266,728","1,278,943","1,292,198","1,323,972","1,287,984","1,310,213","1,331,237","1,353,094","1,326,450","1,366,164","1,382,420","1,418,259","1,383,943","1,422,664","1,453,203","1,497,904","1,474,246","1,515,155","1,544,468","1,589,465","1,545,202","1,573,853","1,602,604","1,677,888","1,634,500","1,658,171","1,690,625","1,742,741","1,705,673","1,747,876","1,779,259","1,837,513","1,771,389","1,704,209","1,709,912","1,744,177","1,689,869","1,757,406","1,797,049","1,881,990","1,881,272","1,961,748","2,001,120","2,070,581","2,037,736","2,072,175","2,096,296","2,135,614","2,085,639","2,111,443"
Credit cards,"46,521","51,159","56,645","64,110","67,028","71,279","75,943","83,691","85,172","89,240","93,406","100,243","98,217","101,197","106,556","115,394","115,247","112,386","116,462","125,989","120,319","123,382","127,815","138,768","129,866","130,070","135,659","141,936","137,267","138,210","139,508","147,499","137,419","137,785","138,117","146,074","141,352","147,802","152,569","164,742","160,788","169,018","179,802","197,520","194,111","201,912","210,432","226,976","214,500","222,459","230,799","245,791","230,621","240,033","235,495","246,218","225,649","231,067","230,351","241,795","220,446","205,833","202,873","227,497","222,687","234,557","245,032","265,984","233,008","242,392","235,013","249,866","264,482","267,749","281,829","291,570","265,345","269,861","266,610","339,266","313,437","322,799","365,001","399,321","363,749","366,447","368,485","396,062","358,627","374,348","383,143","384,980","354,163","373,951","384,506","421,818","386,849","396,041","411,627","444,692","403,071","398,233","392,971","421,479","712,776","692,171","683,944","702,060","663,153","668,170","666,476","687,752","650,082","664,795","668,309","696,085","660,224","670,289","677,074","691,394","658,359","678,337","683,022","718,469","679,966","701,190","714,790","756,464","723,659","745,934","761,644","799,842","756,134","779,714","795,424","865,055","820,415","837,186","856,327","903,492","859,946","881,143","892,881","941,557","872,980","808,171","796,450","822,028","761,103","791,990","805,961","871,083","851,150","903,452","935,418","1,009,402","982,820","1,027,826","1,053,772","1,116,816","1,081,129","1,104,854"
Other loans to individuals,"214,984","226,839","236,417","246,963","252,628","265,116","276,458","282,996","282,613","290,247","294,937","299,564","295,233","298,840","303,214","305,691","306,173","314,232","319,437","320,102","314,468","318,078","321,702","320,722","312,445","313,226","315,668","309,511","298,408","292,165","288,583","285,051","279,809","278,569","280,567","276,388","276,836","279,608","287,997","292,798","298,867","308,575","320,832","329,762","335,125","341,457","349,898","351,306","353,664","360,383","366,405","365,240","362,950","367,887","371,458","366,486","367,417","368,647","378,693","381,864","382,312","386,313","388,328","390,165","393,653","396,426","402,485","405,903","430,184","433,398","441,454","450,691","453,598","461,003","471,738","480,702","486,544","494,083","505,731","508,906","517,960","523,260","530,514","531,047","543,777","541,247","564,302","552,641","564,954","558,687","571,712","570,283","592,087","606,896","628,849","636,640","661,236","673,352","671,072","644,164","643,203","638,891","648,053","636,326","653,413","650,276","644,494","614,291","610,667","619,985","618,097","619,823","616,646","614,148","623,889","627,887","627,760","639,924","654,163","661,700","668,091","687,827","699,398","699,790","703,976","721,475","738,413","741,440","750,587","769,221","782,824","789,623","789,068","794,139","807,180","812,834","814,085","820,985","834,298","839,250","845,727","866,734","886,377","895,956","898,409","896,038","913,462","922,149","928,766","965,416","991,088","1,010,907","1,030,122","1,058,297","1,065,702","1,061,179","1,054,916","1,044,349","1,042,525","1,018,798","1,004,510","1,006,590"
        Auto loans, N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A ,"282,598","292,447","296,264","299,859","304,367","308,696","316,057","320,223","326,291","336,389","347,036","353,477","359,705","370,540","379,531","385,156","389,634","397,633","407,874","414,815","421,831","430,644","437,916","441,837","440,236","444,064","448,812","449,977","450,218","450,426","454,602","455,458","458,905","468,251","477,852","483,680","487,211","485,522","489,173","491,714","499,182","518,108","530,203","537,846","544,462","548,903","550,526","548,396","546,781","541,590","538,904","530,383","522,787","518,358"
  Farm loans,"40,142","42,188","42,375","40,393","38,984","40,483","39,723","36,117","34,371","34,690","34,203","31,602","29,200","30,820","31,041","29,427","28,607","30,619","31,136","30,221","28,732","31,044","31,810","31,127","29,743","32,320","33,645","33,337","32,365","34,897","35,964","34,988","33,349","35,946","36,702","35,014","33,178","35,740","37,462","37,171","36,043","39,780","41,164","39,214","37,352","40,346","41,924","40,233","38,125","41,527","42,162","41,458","39,491","43,897","45,279","45,145","43,334","47,420","48,582","46,632","44,319","46,449","46,986","45,738","43,820","47,500","47,857","48,580","46,654","49,560","48,930","48,410","45,538","48,126","48,181","47,327","44,672","46,256","46,668","46,782","44,102","47,272","48,936","48,804","45,380","48,273","50,708","51,669","49,243","52,706","54,010","54,257","52,874","55,608","56,166","56,786","53,954","58,426","59,501","59,800","56,095","58,288","59,973","59,575","55,739","58,460","59,105","59,328","55,033","57,668","59,834","61,380","58,264","64,016","65,455","67,019","59,814","65,041","67,994","70,645","64,911","69,620","72,926","78,006","71,545","76,538","79,322","81,651","77,187","79,098","80,684","79,963","75,255","79,441","80,882","80,852","75,612","79,836","82,345","82,339","78,544","81,607","80,291","78,752","75,242","78,108","76,796","71,781","68,072","69,763","73,096","74,103","67,794","70,819","74,521","76,720","69,910","75,698","79,462","82,488","79,660","83,727"
  Loans to depository institutions,"75,454","76,008","74,904","73,001","69,907","68,541","68,250","68,633","65,078","66,105","65,378","70,258","67,743","67,031","65,710","64,292","64,798","63,379","60,310","58,762","56,803","54,894","56,766","58,296","55,935","53,835","53,086","51,656","51,218","44,846","49,637","47,453","46,128","43,828","40,075","38,174","36,560","38,229","37,768","44,871","49,808","54,924","58,885","68,247","74,630","76,811","84,221","87,221","95,300","102,253","103,351","114,393","86,954","90,654","82,369","85,608","94,944","100,520","101,149","97,523","104,315","117,808","107,882","101,256","100,246","109,876","123,746","118,177","123,182","117,899","116,398","117,662","118,151","127,613","137,631","133,825","161,499","153,802","150,960","142,829","154,508","199,438","195,075","142,983","147,691","152,243","152,998","162,074","171,870","165,249","154,966","129,340","126,417","123,773","119,820","136,366","143,154","148,925","135,666","111,871","108,867","123,922","133,052","112,438","89,894","76,614","103,954","109,499","119,748","146,771","109,473","119,387","106,957","111,453","107,025","103,286","121,406","120,288","122,631","113,636","116,594","116,787","101,384","100,955","99,546","97,950","96,664","98,009","91,726","91,057","89,745","88,049","83,414","82,270","84,153","86,844","84,800","80,796","81,241","83,789","82,188","70,098","72,106","74,930","78,318","66,710","61,150","60,170","65,674","75,110","75,938","85,255","72,440","77,340","70,694","64,309","64,171","63,277","62,702","59,482","55,975","57,984"
  Loans to foreign governments & official institutions,"43,353","44,043","42,959","41,107","41,118","40,469","39,320","39,568","40,445","40,320","39,257","39,390","39,794","39,564","39,272","39,354","38,839","37,626","35,735","35,463","35,334","33,439","30,978","28,533","27,258","25,397","25,055","25,480","24,709","24,966","25,683","26,316","26,037","24,624","24,465","24,234","24,845","23,692","24,396","20,147","16,046","15,700","14,497","13,263","12,754","12,300","12,341","11,004","11,627","11,752","11,166","10,771","8,151","8,104","8,028","7,832","7,061","7,602","8,110","7,888","8,847","8,866","9,330","8,611","7,164","7,852","6,961","6,352","5,875","5,742","5,878","7,445","6,411","5,973","6,158","5,847","5,967","6,085","6,050","5,902","5,646","6,366","6,353","7,962","6,855","6,760","2,854","3,272","3,506","3,591","3,069","5,018","2,693","3,159","2,960","1,673","1,842","3,332","1,952","2,423","1,599","2,289","2,735","3,139","2,277","1,995","1,932","3,646","2,993","3,289","4,238","2,806","3,560","2,476","2,426","2,884","3,937","4,597","4,748","5,710","5,670","6,891","6,669","6,624","8,107","9,962","8,998","9,530","9,798","14,660","13,720","12,363","12,523","11,583","11,100","9,629","11,440","10,579","10,130","10,762","9,820","8,474","8,691","9,362","9,427","8,758","7,232","8,128","10,479","8,027","7,360","7,305","7,509","7,701","7,723","8,288","5,109","5,041","6,021","7,890","7,418","7,535"
  Obligations of states & political subdivisions in the U.S.,"36,880","39,544","43,555","49,486","50,339","50,487","52,819","61,185","62,016","60,883","60,961","58,900","58,515","56,157","55,143","52,813","51,186","49,588","48,691","45,296","44,537","43,199","42,403","40,459","40,153","37,400","36,381","34,291","33,213","31,663","30,889","29,359","28,431","27,226","26,697","25,219","23,938","23,125","22,923","21,448","20,948","20,849","20,557","19,887","19,745","19,304","19,273","18,817","18,522","18,398","18,584","18,686","18,426","18,243","19,379","18,775","18,538","18,233","18,830","18,847","19,038","19,210","19,845","20,010","20,578","20,484","21,481","21,399","22,049","23,275","24,033","23,925","22,796","22,450","23,304","22,111","22,612","23,224","24,392","25,566","25,758","26,255","27,971","28,955","29,256","29,735","31,973","32,450","32,929","33,141","36,839","38,685","39,995","40,692","43,133","45,204","47,880","49,976","54,598","55,888","56,912","57,683","61,153","62,091","59,720","59,126","61,515","66,456","68,710","71,787","76,599","78,984","82,856","83,711","93,391","96,707","97,546","101,288","108,624","115,405","118,502","122,241","126,720","132,360","134,173","140,630","146,213","153,410","157,164","165,258","168,411","173,442","176,007","180,272","183,368","190,610","191,119","188,581","186,771","188,571","186,960","186,896","185,522","183,366","188,443","197,205","197,643","197,463","197,462","197,574","196,275","198,018","195,388","204,751","209,799","209,741","209,112","206,952","205,903","203,329","203,675","194,804"
  Other loans,"67,095","71,013","70,346","79,366","75,134","82,701","87,243","90,280","89,103","92,845","88,626","92,242","85,221","88,421","90,838","83,407","85,999","87,630","86,821","86,978","88,490","93,937","91,692","93,182","89,702","91,581","91,769","89,849","87,607","88,503","87,959","86,801","91,976","92,760","96,085","92,017","93,017","103,857","109,902","113,087","113,210","107,063","100,884","103,525","105,998","112,391","113,659","116,007","121,671","128,929","131,923","141,103","108,134","112,740","110,123","115,275","124,129","129,491","127,108","131,368","128,675","138,764","129,017","129,667","132,989","137,188","132,908","129,176","123,660","124,767","137,881","116,011","113,147","120,620","116,856","111,681","109,667","129,680","124,488","151,109","155,412","163,323","163,658","172,684","140,122","150,579","155,953","158,637","166,873","185,745","181,950","192,292","192,950","216,067","250,165","258,136","258,889","252,429","277,733","236,858","216,924","216,967","206,805","205,239","247,127","253,421","267,395","269,943","270,063","290,574","306,786","325,741","333,651","362,951","383,405","412,465","429,996","457,576","467,997","493,071","503,240","534,844","550,335","576,073","600,396","626,846","635,880","672,771","683,240","704,104","709,639","702,243","697,241","735,903","755,212","765,470","786,438","808,812","814,313","862,389","852,492","897,929","927,152","948,535","1,075,659","1,005,712","1,046,081","1,102,036","1,138,185","1,188,574","1,232,443","1,315,152","1,302,813","1,353,852","1,375,311","1,388,297","1,386,581","1,404,143","1,413,315","1,441,772","1,437,509","1,494,366"
  Acceptances of other banks,"7,748","8,428","8,310","7,221","6,462","5,513","5,035","4,831","4,238","3,666","2,511","3,169","2,686","3,490","3,458","4,931","3,505","3,313","4,158","5,058","4,987","4,221","3,574","4,355","3,504","3,015","2,590","3,943","4,140","2,570","2,018","2,072","1,596","1,713","1,855","1,953","1,988","2,403","1,860","2,154","1,894","2,229","1,910","1,745","1,655","1,696","1,653","1,881","2,138","1,970","1,563","1,557","1,874","1,928","1,969","2,002","1,794","1,547","1,583","1,487","1,299","1,242","1,449","1,278","1,302","1,326","1,324","1,552", N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A , N/A 
  Lease financing receivables,"18,309","19,114","19,857","21,339","21,836","22,824","23,577","25,927","26,932","27,023","27,828","29,198","29,580","30,020","30,608","32,477","32,556","33,731","34,690","35,828","35,551","35,812","37,422","38,620","38,158","38,155","38,927","39,110","37,983","37,744","37,065","37,474","36,754","35,589","35,854","35,565","35,401","35,819","36,586","38,179","38,606","40,319","42,842","46,003","47,165","50,088","53,357","58,388","62,319","66,838","73,411","79,706","84,698","89,992","96,699","102,201","105,704","111,183","118,165","125,324","135,063","139,745","147,612","152,676","152,751","160,462","165,243","166,895","170,607","170,045","168,339","169,982","169,782","166,453","164,019","161,017","158,629","157,776","155,652","151,829","148,958","141,082","140,442","143,175","139,058","138,310","139,479","138,524","137,892","139,508","139,119","139,040","131,642","130,117","130,460","130,796","129,400","130,375","126,931","120,816","116,031","115,320","111,313","109,330","105,560","103,665","100,392","101,695","99,477","99,163","99,456","100,104","100,871","101,546","102,985","105,200","105,691","107,595","108,203","110,895","109,760","110,915","113,104","113,570","113,055","114,424","114,195","116,006","120,842","122,153","122,979","126,620","125,927","126,751","127,196","129,889","128,643","128,581","129,246","132,677","129,517","130,447","130,802","131,913","130,116","128,152","125,964","124,460","121,540","120,543","118,495","117,945","114,051","113,394","112,641","114,470","113,800","113,974","115,051","117,396","117,294","118,446"
  Gross total loans and leases,"2,054,168","2,144,456","2,196,791","2,266,110","2,291,956","2,351,351","2,414,017","2,475,070","2,495,569","2,538,861","2,556,093","2,642,227","2,624,596","2,671,576","2,717,895","2,769,228","2,806,317","2,862,086","2,906,115","2,959,938","2,936,267","2,974,644","3,000,053","3,002,760","2,955,916","2,969,619","2,984,163","2,950,694","2,898,499","2,861,092","2,823,117","2,801,697","2,769,281","2,746,015","2,729,497","2,701,292","2,680,028","2,720,344","2,748,691","2,792,841","2,792,227","2,854,920","2,921,635","3,009,283","3,082,122","3,156,215","3,220,137","3,266,837","3,297,880","3,367,062","3,434,794","3,509,471","3,470,833","3,568,198","3,610,661","3,677,892","3,736,303","3,801,192","3,860,910","3,962,171","3,981,630","4,053,994","4,131,294","4,254,329","4,344,592","4,506,147","4,604,457","4,646,423","4,680,807","4,721,447","4,732,873","4,764,511","4,755,888","4,823,588","4,956,305","5,056,707","5,128,946","5,253,350","5,336,538","5,437,565","5,551,340","5,786,166","5,984,617","6,124,055","6,203,721","6,408,152","6,580,289","6,721,405","6,867,438","7,062,768","7,170,204","7,236,660","7,279,964","7,469,651","7,706,151","7,908,805","7,970,332","7,998,526","7,974,789","7,860,808","7,736,353","7,628,160","7,417,686","7,285,575","7,505,475","7,398,653","7,391,355","7,377,771","7,251,321","7,318,586","7,341,911","7,475,814","7,413,299","7,515,342","7,579,962","7,697,340","7,660,002","7,734,013","7,803,728","7,894,824","7,932,563","8,110,859","8,161,862","8,311,422","8,363,874","8,548,832","8,644,195","8,841,443","8,940,862","9,122,865","9,234,872","9,307,137","9,299,158","9,460,246","9,558,994","9,723,343","9,754,363","9,858,706","9,941,375","10,154,325","10,149,731","10,302,174","10,402,570","10,520,509","10,963,186","10,995,826","10,914,532","10,866,821","10,828,051","10,861,144","10,923,289","11,249,138","11,358,786","11,773,251","12,003,307","12,228,700","12,213,737","12,300,421","12,346,837","12,453,615","12,419,273","12,545,059"
    Less: Unearned income,"60,842","64,820","66,032","64,975","64,263","64,950","64,303","62,084","59,225","58,570","56,888","53,476","50,580","50,864","51,043","50,258","49,043","47,980","48,931","48,508","46,367","45,590","44,146","40,054","35,826","34,097","32,470","29,101","26,205","25,340","24,106","22,113","20,568","20,450","19,404","18,271","17,436","16,850","16,659","16,012","15,910","17,033","16,902","16,546","15,836","15,910","16,006","15,221","15,114","16,242","16,719","15,788","5,381","5,383","4,977","4,684","4,533","4,423","4,435","4,305","4,027","3,852","3,864","3,878","3,454","3,413","3,249","3,098","2,970","2,945","2,833","3,289","4,016","3,989","3,789","3,549","3,624","3,590","2,981","3,004","2,910","3,067","3,196","3,354","3,072","3,084","3,187","3,156","3,345","2,460","2,235","2,401","2,288","3,068","2,237","2,309","2,455","2,515","2,792","2,878","2,481","2,903","2,619","3,765","2,710","2,795","2,127","2,451","2,002","2,321","1,732","1,705","2,110","2,047","1,929","1,842","1,929","1,834","1,859","1,895","1,903","1,856","1,924","1,993","1,928","1,925","1,942","2,080","2,109","2,106","2,076","2,175","2,034","2,040","2,059","2,291","2,283","2,346","2,330","2,383","2,347","2,347","2,275","2,337","2,300","3,803","3,623","3,196","3,071","2,987","2,409","2,129","1,905","1,508","1,897","1,954","1,635","1,912","2,454","1,534","1,980","2,013"
  Total loans and leases,"2,034,637","2,124,682","2,176,827","2,246,259","2,272,604","2,332,064","2,395,051","2,456,697","2,477,906","2,521,562","2,539,006","2,625,487","2,608,485","2,655,633","2,701,979","2,753,379","2,790,306","2,845,784","2,889,291","2,943,436","2,919,800","2,957,905","2,983,769","2,986,997","2,940,703","2,954,580","2,969,114","2,936,384","2,885,083","2,848,144","2,810,635","2,789,990","2,758,438","2,735,622","2,719,596","2,692,153","2,671,451","2,712,263","2,741,161","2,785,738","2,785,679","2,848,454","2,915,133","3,002,617","3,075,642","3,149,700","3,213,784","3,260,691","3,291,982","3,361,165","3,428,942","3,503,905","3,465,452","3,562,815","3,605,683","3,673,208","3,731,770","3,796,770","3,856,475","3,957,866","3,977,603","4,050,142","4,127,431","4,250,450","4,341,138","4,502,735","4,601,208","4,643,324","4,677,838","4,718,502","4,730,039","4,761,222","4,751,872","4,819,599","4,952,516","5,053,158","5,125,322","5,249,761","5,333,557","5,434,561","5,548,430","5,783,100","5,981,421","6,120,701","6,200,650","6,405,069","6,577,102","6,718,248","6,864,094","7,060,308","7,167,969","7,234,259","7,277,676","7,466,582","7,703,914","7,906,496","7,967,878","7,996,011","7,971,997","7,857,930","7,733,872","7,625,257","7,415,067","7,281,810","7,502,766","7,395,858","7,389,228","7,375,321","7,249,319","7,316,265","7,340,179","7,474,108","7,411,189","7,513,295","7,578,032","7,695,498","7,658,073","7,732,179","7,801,869","7,892,929","7,930,660","8,109,003","8,159,938","8,309,430","8,361,946","8,546,907","8,642,253","8,839,364","8,938,753","9,120,759","9,232,796","9,304,962","9,297,124","9,458,205","9,556,935","9,721,053","9,752,081","9,856,360","9,939,045","10,151,942","10,147,384","10,299,827","10,400,294","10,518,171","10,960,886","10,992,023","10,910,909","10,863,625","10,824,980","10,858,158","10,920,880","11,247,009","11,356,882","11,771,743","12,001,410","12,226,746","12,212,102","12,298,509","12,344,383","12,452,082","12,417,294","12,543,046"
    Less: Reserve for losses,"18,545","19,219","19,994","21,899","22,885","24,840","26,462","28,408","30,581","33,166","34,831","37,992","39,493","58,481","59,154","62,446","63,450","62,601","60,058","57,209","53,218","52,482","60,501","62,283","60,560","58,456","62,147","65,695","64,728","63,968","63,869","65,196","65,946","65,164","64,719","63,764","63,726","62,854","62,806","61,467","61,760","61,014","60,570","59,943","60,514","60,496","60,288","60,274","60,288","60,966","61,196","61,130","60,654","61,551","62,052","61,877","62,389","63,577","64,440","64,183","64,872","64,636","65,453","65,652","66,754","68,959","69,823","71,412","72,201","73,384","76,067","80,028","82,951","82,409","83,859","85,219","85,838","85,931","84,991","85,547","84,160","84,000","83,797","82,037","79,680","79,053","79,382","77,414","77,710","77,968","77,919","77,609","78,535","81,245","87,077","102,727","121,236","144,520","155,220","173,414","194,323","211,158","220,516","228,593","263,152","251,553","241,982","231,450","218,481","207,717","197,322","191,271","183,243","176,595","167,002","162,107","155,516","149,086","142,614","135,935","132,349","128,209","125,254","122,622","121,054","119,643","118,554","118,567","120,688","121,681","122,064","121,683","121,781","121,386","123,504","123,756","123,743","123,424","123,727","124,744","125,180","124,904","125,172","123,929","196,406","242,717","244,267","236,621","214,260","195,171","185,059","178,207","175,466","179,210","185,554","195,309","202,089","208,887","212,991","217,886","218,624","220,538"
